"Region","income_category","iso3","Country","City.Town","Year","pm10_yr_mean","pm10_temp_cover","note.on.converted.PM10","pm25_yr_mean","pm25_temp_cover","note.on.converted.PM2.5","Number.and.type.of.monitoring.stations","Reference.for.air.quality","Database.version..year.","status"
"Western Pacific","HIC","AUS","Australia","Muswellbrook (Australia)",2014,21,">75%","Measured",10,">75%","Measured","1 Population Centre","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Muswellbrook (Australia)",2015,19,">75%","Measured",9,">75%","Measured","1 Population Centre","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Muswellbrook (Australia)",2016,19,">75%","Measured",8,">75%","Measured","1 Population Centre","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Newcastle (Australia)",2013,22,">75%","Measured",8,">75%","Measured","2 Campaign Site, 1 Trend Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Newcastle (Australia)",2014,19,">75%","Measured",7,">75%","Measured","2 Campaign Site, 1 Trend Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Newcastle (Australia)",2015,23,">75%","Measured",8,">75%","Measured","2 Campaign Site, 3 Non Nepm Site, 1 Trend Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Newcastle (Australia)",2016,23,">75%","Measured",8,">75%","Measured","2 Campaign Site, 3 Non Nepm Site, 1 Trend Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Palmerston (Australia)",2012,26,">75%","Measured",12,">75%","Measured","1 Sub-Urban",NA,2018,NA
"Western Pacific","HIC","AUS","Australia","Palmerston (Australia)",2014,21,">75%","Measured",9,">75%","Measured","1 Sub-Urban",NA,2018,NA
"Western Pacific","HIC","AUS","Australia","Palmerston (Australia)",2015,20,">75%","Measured",8,">75%","Measured","1 Sub-Urban",NA,2018,NA
"Western Pacific","HIC","AUS","Australia","Palmerston (Australia)",2016,15,">75%","Measured",7,">75%","Measured","1 Sub-Urban",NA,2018,NA
"Western Pacific","HIC","AUS","Australia","Perth (Australia)",2010,17,"NA","Measured",8,"NA","Measured","4 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Perth (Australia)",2011,16,"NA","Measured",7,"NA","Measured","4 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Perth (Australia)",2012,17,"NA","Measured",8,"NA","Measured","4 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Perth (Australia)",2013,16,"NA","Measured",8,"NA","Measured","4 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Perth (Australia)",2014,17,"NA","Measured",8,"NA","Measured","4 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Perth (Australia)",2015,17,"NA","Measured",8,"NA","Measured","4 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Perth (Australia)",2016,15,">75%","Measured",8,">75%","Measured","8 N.A.","2016 Western Australia air monitoring report (June 2017)",2018,NA
"Western Pacific","HIC","AUS","Australia","Singleton (Australia)",2013,23,">75%","Measured",8,">75%","Measured","1 Population Centre","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Singleton (Australia)",2014,21,">75%","Measured",8,">75%","Measured","1 Population Centre","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Singleton (Australia)",2015,19,">75%","Measured",8,">75%","Measured","1 Population Centre","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Singleton (Australia)",2016,19,">75%","Measured",8,">75%","Measured","1 Population Centre","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Sydney (Australia)",2013,17,">75%","Measured",8,">75%","Measured","2 Campaign Site, 4 Non Nepm Site, 3 Peformance Site, 1 Tend Site, 5 Trend Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Sydney (Australia)",2014,17,">75%","Measured",8,">75%","Measured","2 Campaign Site, 4 Non Nepm Site, 3 Peformance Site, 1 Tend Site, 5 Trend Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Sydney (Australia)",2015,16,">75%","Measured",8,">75%","Measured","2 Campaign Site, 4 Non Nepm Site, 3 Peformance Site, 1 Tend Site, 5 Trend Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Sydney (Australia)",2016,17,">75%","Measured",8,">75%","Measured","2 Campaign Site, 4 Non Nepm Site, 3 Peformance Site, 1 Tend Site, 5 Trend Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Tamworth (Australia)",2013,17,">75%","Measured",7,"NA","Converted","1 Campaign Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Tamworth (Australia)",2014,16,">75%","Measured",7,"NA","Converted","1 Campaign Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Tamworth (Australia)",2015,14,">75%","Measured",6,"NA","Converted","1 Campaign Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Tamworth (Australia)",2016,15,">75%","Measured",7,"NA","Converted","1 Campaign Site","Office of Environment and Heritage NSW Government",2018,NA
"Western Pacific","HIC","AUS","Australia","Townsville (Australia)",2015,18,">75%","Measured",8,"NA","Converted","1 N.A.","Queensland Government Data",2018,NA
"Western Pacific","HIC","AUS","Australia","Upper Hunter (Australia)",2014,20,"NA","Converted",8,"NA","Measured","-","http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf",2016,NA
"Western Pacific","HIC","AUS","Australia","Wagga Wagga (Australia)",2013,22,">75%","Measured",8,">75%","Measured","1 Campaign Site","Office of Environment and Heritage NSW Government",2018,NA
